course_id,learners_enrolled,status,error
noc26_me124,516,OK,
noc26_me125,168,OK,
noc26_me126,540,OK,
noc26_me127,1508,OK,
noc26_me128,244,OK,
noc26_me129,263,OK,
noc26_me130,56,OK,
noc26_me131,58,OK,
noc26_me132,58,OK,
noc26_me133,496,OK,
noc26_me134,110,OK,
noc26_me135,205,OK,
noc26_me136,170,OK,
noc26_me137,750,OK,
noc26_me138,382,OK,
noc26_me139,480,OK,
noc26_me140,116,OK,
noc26_me141,1659,OK,
noc26_me142,326,OK,
noc26_me143,157,OK,
noc26_me144,90,OK,
noc26_me145,142,OK,
noc26_me146,112,OK,
noc26_me147,201,OK,
noc26_me148,112,OK,
noc26_me149,412,OK,
noc26_me150,96,OK,
noc26_me151,429,OK,
noc26_me152,351,OK,
noc26_me153,169,OK,
noc26_me154,458,OK,
noc26_me155,186,OK,
noc26_me156,302,OK,
noc26_me157,190,OK,
noc26_me158,551,OK,
noc26_me159,157,OK,
noc26_me160,340,OK,
noc26_me161,99,OK,
noc26_me162,232,OK,
noc26_me163,43,OK,
noc26_me164,417,OK,
noc26_me165,500,OK,
noc26_me166,37,OK,
noc26_me167,537,OK,
noc26_me168,68,OK,
noc26_me169,378,OK,
noc26_me170,261,OK,
noc26_me171,316,OK,
noc26_me172,124,OK,
noc26_me173,222,OK,
noc26_me174,227,OK,
noc26_me175,406,OK,
noc26_me176,64,OK,
noc26_me177,126,OK,
noc26_me178,74,OK,
noc26_me179,52,OK,
noc26_me180,131,OK,
noc26_me181,208,OK,
noc26_me182,179,OK,
noc26_me183,226,OK,
noc26_me184,55,OK,
noc26_me185,167,OK,
noc26_me186,71,OK,
noc26_me187,142,OK,
noc26_me188,1147,OK,
noc26_me189,1319,OK,
noc26_me190,72,OK,
noc26_me191,184,OK,
noc26_me192,320,OK,
noc26_me193,316,OK,
noc26_me194,164,OK,
noc26_me195,24,OK,
noc26_me196,113,OK,
noc26_me197,82,OK,
noc26_me198,197,OK,
noc26_me199,265,OK,
noc26_me200,161,OK,
noc26_me201,171,OK,
noc26_me202,640,OK,
noc26_me203,312,OK,
noc26_me204,329,OK,
noc26_mg100,1801,OK,
noc26_mg101,744,OK,
noc26_mg102,548,OK,
noc26_mg103,450,OK,
noc26_mg104,302,OK,
noc26_mg105,1136,OK,
noc26_mg106,1125,OK,
noc26_mg107,1118,OK,
noc26_mg108,621,OK,
noc26_mg109,1250,OK,
noc26_mg110,316,OK,
noc26_mg111,667,OK,
noc26_mg112,1405,OK,
noc26_mg113,1604,OK,
noc26_mg114,3997,OK,
noc26_mg115,305,OK,
noc26_mg116,1621,OK,
noc26_mg117,956,OK,
noc26_mg118,74,OK,
noc26_mg119,439,OK,
noc26_mg120,500,OK,
noc26_mg121,734,OK,
noc26_mg122,3037,OK,
noc26_mg123,829,OK,
noc26_mg124,475,OK,
noc26_mg125,416,OK,
noc26_mg126,1408,OK,
noc26_mg127,455,OK,
noc26_mg128,85,OK,
noc26_mg129,2708,OK,
noc26_mg130,298,OK,
noc26_mg131,689,OK,
noc26_mg132,516,OK,
noc26_mg133,220,OK,
noc26_mg134,2836,OK,
noc26_mg135,2596,OK,
noc26_mg136,106,OK,
noc26_mg137,726,OK,
noc26_mg138,408,OK,
noc26_mg139,4890,OK,
noc26_mg142,1728,OK,
noc26_mg143,587,OK,
noc26_mg144,256,OK,
noc26_mg145,1256,OK,
noc26_mg146,380,OK,
noc26_mg147,1115,OK,
noc26_mg148,579,OK,
noc26_mg149,356,OK,
noc26_mg150,1367,OK,
noc26_mg151,274,OK,
noc26_mg152,2107,OK,
noc26_mg153,1598,OK,
noc26_mg154,2570,OK,
noc26_mg155,1085,OK,
noc26_mg156,511,OK,
noc26_mg157,1822,OK,
noc26_mg158,987,OK,
noc26_mg159,321,OK,
noc26_mg80,1084,OK,
noc26_mg81,1070,OK,
noc26_mg82,875,OK,
noc26_mg83,486,OK,
noc26_mg84,3509,OK,
noc26_mg85,239,OK,
noc26_mg86,735,OK,
noc26_mg87,1596,OK,
noc26_mg88,161,OK,
noc26_mg89,553,OK,
noc26_mg90,227,OK,
noc26_mg91,313,OK,
noc26_mg92,968,OK,
noc26_mg93,457,OK,
noc26_mg94,1770,OK,
noc26_mg95,338,OK,
noc26_mg96,1419,OK,
noc26_mg97,1474,OK,
noc26_mg98,765,OK,
noc26_mg99,2221,OK,
noc26_mm48,55,OK,
noc26_mm49,257,OK,
noc26_mm50,256,OK,
noc26_mm51,167,OK,
noc26_mm53,73,OK,
noc26_mm54,64,OK,
noc26_mm55,36,OK,
noc26_mm56,456,OK,
noc26_mm57,41,OK,
noc26_mm58,45,OK,
noc26_mm59,36,OK,
noc26_mm60,86,OK,
noc26_mm61,39,OK,
noc26_mm62,62,OK,
noc26_mm63,58,OK,
noc26_mm64,164,OK,
